sperm_id,total_distance,displacement,time_elapsed,vcl,vsl,vap,alh,mad,linearity,wob,straightness,bcf,angular_displacement,curvature
1.0,93.69078699650439,4.095492614813664,5.0,18.738157399300878,0.8190985229627328,18.56930932089339,4.1284716595903665,2.047050017557439,0.0437128638375774,0.9909890778047479,0.04371286383757741,1.4,0.0029576139097868058,9.69226062375686
2.0,115.17019122607509,4.36746808968564,3.88,29.68303897579255,1.1256361055890824,29.384324570679386,4.96073997742273,2.1258372278182893,0.037921861926168476,0.989936528892585,0.037921861926168476,6.701030927835052,-0.021798527681276863,8.38117106687769
3.0,115.11123095911945,14.108872594695095,0.72,159.87670966544368,19.595656381520964,159.1486968218255,13.74129029237871,2.6691237998025015,0.12256729840466837,0.9954464108928585,0.12256729840466837,2.7777777777777777,0.019660619978049,0.8635459466790237
4.0,217.22911044240655,74.27291186674596,4.72,46.02311661915393,15.735786412446178,45.725334281745134,23.950925177636915,1.2038643093874801,0.3419104912572837,0.9935297224681028,0.3419104912572837,3.6016949152542375,0.003128783164116493,4.283279782055533
5.0,109.7159368514718,6.664436734748253,5.0,21.94318737029436,1.3328873469496505,21.832160581370168,6.121059529438478,1.432724805397013,0.060742649846487196,0.9949402615467571,0.0607426498464872,2.0,-0.0036331129522794085,5.142290126454089
6.0,203.26387091701955,6.3447696469224,4.88,41.65243256496302,1.3001577145332788,41.16561773704656,11.986495430542886,2.0846544354520793,0.031214448580055773,0.9883124514478907,0.031214448580055773,3.4836065573770494,0.018718584507336485,3.7400267338531172
7.0,24.456102873233945,0.550444809632085,5.0,4.891220574646789,0.110088961926417,4.828794033310712,1.4246628534860393,1.9207844084782195,0.022507462144940555,0.9872370218469271,0.022507462144940555,1.2,0.01230145925421204,37.43882400533291
8.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
9.0,113.47679718850189,0.8181325410484035,5.0,22.69535943770038,0.1636265082096807,22.435052410548927,5.153061198138213,2.6532447732999627,0.007209690098050293,0.9885303853474537,0.007209690098050294,4.8,0.012634731684563399,6.956868664376638
10.0,44.3248350089509,1.7779965462813137,2.24,19.787872771853078,0.7937484581613007,19.5264357452619,1.6383916371792457,1.6956326639439159,0.040112874552658065,0.9867880176103085,0.04011287455265806,3.571428571428571,-0.03143469205309624,8.733402113164793
11.0,40.695820135651715,3.1712190543571865,2.32,17.5413017826085,1.3669047648091321,17.286552585897955,1.630164442505176,2.087063265942837,0.07792493292398422,0.9854771783834699,0.07792493292398422,4.310344827586207,0.03373785184759139,10.60665768803815
12.0,0.0,0.0,0.0,4.310344827586207,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
13.0,75.54811121100633,1.9219780686604573,5.0,15.109622242201265,0.38439561373209147,14.962494858525664,5.323007604453899,1.592209984801387,0.02544045162548619,0.9902626696209074,0.025440451625486186,3.6,-0.015889011032525942,16.507875495506305
14.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
15.0,77.94158721810103,4.435085231846691,2.46,31.68357203987847,1.8028801755474355,31.26760474404592,3.65034369696714,1.6054992589726524,0.056902680457817184,0.9868711995191389,0.056902680457817184,2.845528455284553,0.009796915288114109,5.908581457758538
16.0,0.0,0.0,0.0,2.845528455284553,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
17.0,110.94517162237152,7.818829628831624,5.0,22.189034324474303,1.5637659257663248,22.019829171294823,4.731173943318714,2.1024749139769083,0.07047471750681394,0.9923743795829435,0.07047471750681394,4.4,-0.013597485702569603,6.761389846392224
18.0,52.0463023477845,7.868568991985868,5.0,10.4092604695569,1.5737137983971736,10.271206369017,1.8153013675435954,1.5367646498881824,0.15118401571366993,0.9867373766903369,0.15118401571366993,1.2,0.0007798393784495465,15.418586461045585
19.0,119.5230477207614,10.471625366465673,5.0,23.90460954415228,2.0943250732931347,23.65156213592074,6.093644503143239,2.01855833873506,0.08761176665215449,0.989414283978822,0.08761176665215449,1.6,-0.00258678733069505,7.095722552270579
20.0,92.67278584872864,0.4124240862930066,5.0,18.534557169745728,0.08248481725860132,18.254194178082127,5.008553239545936,1.9735755597091393,0.004450325761936341,0.9848734993182765,0.00445032576193634,3.4,0.020007273681873015,13.287518604790861
21.0,111.75695867697902,39.00779406781696,5.0,22.351391735395804,7.801558813563392,22.083151732515674,4.21331542974004,1.3732128466053086,0.3490412993482099,0.9879989574673623,0.3490412993482099,2.8,0.006621557406997029,6.732037240656936
22.0,50.768447611866826,0.3466988405742755,2.68,18.943450601442844,0.12936523902025204,18.76370177793497,4.848317942404492,1.6772047780120707,0.006829021900075524,0.9905112945212746,0.006829021900075525,1.4925373134328357,0.03056608208906051,7.13462979825787
23.0,154.84076304861097,5.968619402079538,5.0,30.968152609722193,1.1937238804159076,30.489134426133443,5.661564464349179,2.466028936079416,0.03854682245531004,0.9845319096161272,0.03854682245531004,4.4,0.011152765504727997,6.901634226829139
24.0,65.08192934622804,14.726435896005478,4.34,14.995836254891254,3.3931879944713086,14.845574049352425,7.604991635545634,2.4102843882585416,0.22627534315497333,0.9899797381763343,0.22627534315497333,1.1520737327188941,0.003228924140095809,30.86353475696764
25.0,0.0,0.0,0.0,1.1520737327188941,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
26.0,25.973117594828757,3.0852222364398703,1.28,20.291498120959965,2.410329872218649,20.013179618853687,2.6818758453243583,1.676631325516794,0.11878521033047407,0.9862839845314926,0.11878521033047405,1.5625,-0.036025567961454875,8.09309231293676
