sperm_id,Velocity,Straightness_Ratio,Angular_Displacement,Linearity,Curvature,ALH,BCF,Total_Distance,Displacement,Time_Elapsed
1.0,1e-323,0.0,,,,209.4425048828125,0.0,0,0.0,0.0
2.0,123.07076548058181,0.9451034971684266,-0.09357367618606949,0.2080889866315503,0.3496377880187178,1.5363325099147007,0.0,12.307076548058182,11.631461085489315,0.1
3.0,12.307076548058182,0.0,,,,446.1148681640625,0.0,0,0.0,0.0
4.0,14.001317182904327,0.3760846683381062,-1.1346656890833349,0.06410281385430106,34.405621410068,0.3873679630188611,0.0,1.4001317182904327,0.5265680729029202,0.1
5.0,16.958040955440115,0.7200211659153374,-0.27217013892639663,0.34535372251012675,14.690144821619858,0.3110031343459616,0.0,1.6958040955440117,1.2210148420376035,0.1
6.0,13.809932154083505,0.7964306157936455,-0.3055121919359569,0.5455273367332183,8.507462116944977,0.3387814757622345,0.0,1.3809932154083506,1.0998652769545192,0.1
7.0,12.232614439714263,0.3966987437622157,-0.15699345523982722,0.6449383705664066,75.03960935587637,0.25345852991935486,10.0,1.2232614439714264,0.48526627811621886,0.1
8.0,15.371717462784385,0.1699163277679116,-0.6872289603381421,0.2580745654291673,13.009940438206655,0.4769245546343449,0.0,1.5371717462784387,0.2611905782762202,0.1
9.0,10.70597411917635,0.33619124160123215,0.9557463544848269,0.5912413080215926,26.5229524221317,0.2746415644305827,0.0,1.0705974119176351,0.35992547316765555,0.1
10.0,8.154304203145,0.5468556422149617,0.4463895945949678,0.0029617457931595537,28.734717580838183,0.22551819638914752,0.0,0.8154304203145,0.44592272618270207,0.1
11.0,7.2326548316368715,0.16981402817033325,-0.17751710354118921,0.03026641014933229,32.81242736237744,0.16049665223700832,0.0,0.7232654831636872,0.12282062513258808,0.1
12.0,0.7232654831636872,0.0,,,,154.0272674560547,0.0,0,0.0,0.0
13.0,154.0272674560547,0.0,,,,422.0968627929688,0.0,0,0.0,0.0
14.0,422.0968627929688,0.0,,,,145.93603515625,0.0,0,0.0,0.0
15.0,38.72466826482865,0.18240594469259017,-1.3333899412352868,0.46339497497406834,8.419278697595978,0.779449020103823,0.0,2.323480095889719,0.42381658186519416,0.06
16.0,14.359083075972299,0.5914530319373482,-0.9191768481399312,0.18317182528385967,18.905842439781118,0.27754600343090635,0.0,1.4359083075972299,0.849272322112408,0.1
17.0,39.32163940821802,0.6618388419040203,-0.25932766187166906,0.17985781777875542,3.1599358927038237,1.1374458658353555,0.0,3.932163940821802,2.60245882877025,0.1
18.0,3.932163940821802,0.0,,,,116.60516357421876,0.0,0,0.0,0.0
19.0,116.60516357421876,0.0,,,,284.8289489746094,0.0,0,0.0,0.0
20.0,81.2217377078161,0.9299436653067336,-0.0874596258911784,0.7586241703831712,3.9545716135551707,1.1735389632493292,0.0,8.122173770781611,7.553164046658865,0.1
21.0,15.16105698103592,0.18460621965222385,0.8063579389913375,0.8311626286183533,19.057003544554284,0.4127533117274537,0.0,1.516105698103592,0.2798825415200999,0.1
22.0,140.67244984659675,1.0,,1.0,,0.0,0.0,2.813448996931935,2.813448996931935,0.02
23.0,29.266330134074785,0.5336610336822905,0.5899552481327166,0.5615264829411959,8.377883326543632,0.5512425981776746,10.0,2.9266330134074785,1.5618299991437516,0.1
24.0,33.03848137485199,0.6665275157528696,-0.16251433925942171,0.606510729518219,8.34445257084734,0.29202300509027734,10.0,3.303848137485199,2.202105691502755,0.1
25.0,3.303848137485199,0.0,,,,425.4606628417969,0.0,0,0.0,0.0
26.0,21.71605801047447,0.34079220287821993,0.27005850646461604,0.2702139055333804,6.8346656836124335,0.7178299167092963,0.0,2.171605801047447,0.7400663247220809,0.1
27.0,54.084598001742634,0.534231165127451,0.06594422467173056,0.194674662065205,2.3818183642163904,0.5406319826728349,20.0,5.408459800174263,2.889367780592077,0.1
28.0,5.408459800174263,0.0,,,,244.6215057373047,0.0,0,0.0,0.0
29.0,244.6215057373047,0.0,,,,337.3292236328125,0.0,0,0.0,0.0
30.0,189.0275278157629,0.9731510181588757,-0.038010937896512276,0.9773044288829743,0.17035357654979988,0.8151496271367575,30.0,18.902752781576293,18.39523311539649,0.1
31.0,23.683304017668927,0.6855306053297242,-1.408029781101397,0.2814971296128447,19.689942267945124,0.5385270595578675,20.0,2.368330401766893,1.6235629739440471,0.1
32.0,60.00395303954695,0.7717744317316004,-0.11012230631167191,0.9150017351977978,3.096455659807284,0.4585513267408515,10.0,6.000395303954695,4.6309516758745985,0.1
33.0,93.04019414342766,0.9982137161849443,-0.12144934681503616,0.9890274811268518,0.07917027074165926,0.10943846771640924,0.0,3.7216077657371063,3.714959918019184,0.04
34.0,32.723098814562945,0.7817547148014082,-0.017041319740117106,0.5737144160042198,4.2855564612535915,0.7295935104810376,10.0,3.272309881456295,2.558143678119696,0.1
35.0,68.13915880132619,0.19978329855133986,-0.11343493273363237,0.6562646831418598,5.009682340030725,1.5591268885409328,20.0,6.813915880132619,1.3613065905842507,0.1
36.0,23.509939392652075,0.4323891161245646,-0.40205631208611375,0.3382263607422106,3.075278324036276,0.39365823290564866,20.0,2.3509939392652077,1.0165441914130915,0.1
37.0,51.75784670274635,0.7413930958587636,-0.375811774672527,0.18663045361179909,3.2705372641110055,1.417112827968375,0.0,5.175784670274635,3.8372910201932413,0.1
38.0,5.175784670274635,0.0,,,,430.2156982421875,0.0,0,0.0,0.0
39.0,30.706484365813605,0.5720152826968266,-0.07553427854698702,0.4519181361971899,5.204587292986259,0.6684037724578775,10.0,3.0706484365813607,1.7564578335136554,0.1
