epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,630.821,1.29065,0.73709,0.8577,0.56061,0.24653,0.20356,0.05788,2.59252,1.98297,1.35329,0.000348077,0.000348077,0.000348077
43,645.505,1.30635,0.7158,0.86701,0.5902,0.26736,0.23956,0.07451,2.44209,2.12395,1.30617,0.000350625,0.000350625,0.000350625
44,659.869,1.58569,0.75199,0.88562,0.5902,0.26736,0.23956,0.07451,2.44209,2.12395,1.30617,0.00035289,0.00035289,0.00035289
45,674.635,1.3342,0.67722,0.87364,0.92213,0.26852,0.24224,0.07597,2.45458,2.11248,1.31927,0.000354872,0.000354872,0.000354872
46,689.149,1.48423,0.70728,0.87282,0.92213,0.26852,0.24224,0.07597,2.45458,2.11248,1.31927,0.000356571,0.000356571,0.000356571
47,703.615,1.45011,0.68706,0.87651,0.90333,0.2581,0.22576,0.06522,2.59479,1.91058,1.37293,0.000357987,0.000357987,0.000357987
48,718.076,1.45329,0.73022,0.9229,0.90333,0.2581,0.22576,0.06522,2.59479,1.91058,1.37293,0.000359121,0.000359121,0.000359121
49,732.351,1.40717,0.70188,0.87987,0.90302,0.25952,0.22754,0.06532,2.61652,1.68638,1.37938,0.000359971,0.000359971,0.000359971
50,746.77,1.34117,0.69952,0.89397,0.90302,0.25952,0.22754,0.06532,2.61652,1.68638,1.37938,0.000360538,0.000360538,0.000360538
51,761.655,1.23085,0.65094,0.86826,0.92317,0.26968,0.25105,0.07892,2.4807,1.43389,1.32214,0.000360822,0.000360822,0.000360822
52,776.283,1.52027,0.67889,0.87379,0.92317,0.26968,0.25105,0.07892,2.4807,1.43389,1.32214,0.000360824,0.000360824,0.000360824
53,790.687,1.14573,0.63229,0.86285,0.92317,0.26968,0.25105,0.07892,2.4807,1.43389,1.32214,0.000360542,0.000360542,0.000360542
54,805.238,1.22491,0.63193,0.86623,0.9287,0.26852,0.25347,0.07957,2.47992,1.31427,1.30304,0.000359978,0.000359978,0.000359978
55,820.625,1.59514,0.66978,0.87389,0.9287,0.26852,0.25347,0.07957,2.47992,1.31427,1.30304,0.000359131,0.000359131,0.000359131
56,838.681,1.27375,0.62284,0.86003,0.9287,0.26852,0.25347,0.07957,2.47992,1.31427,1.30304,0.000358,0.000358,0.000358
57,853.143,1.18825,0.60113,0.85527,0.90639,0.2581,0.23474,0.06908,2.60622,1.34233,1.33137,0.000356587,0.000356587,0.000356587
58,867.434,1.21797,0.60276,0.85,0.90639,0.2581,0.23474,0.06908,2.60622,1.34233,1.33137,0.000354891,0.000354891,0.000354891
59,882.261,1.1856,0.60172,0.85208,0.90639,0.2581,0.23474,0.06908,2.60622,1.34233,1.33137,0.000352912,0.000352912,0.000352912
60,896.611,1.10517,0.59264,0.84826,0.90473,0.24537,0.21974,0.06498,2.66949,1.3938,1.34708,0.000350649,0.000350649,0.000350649
61,910.934,1.18839,0.60909,0.85143,0.90473,0.24537,0.21974,0.06498,2.66949,1.3938,1.34708,0.000348104,0.000348104,0.000348104
62,925.131,1.2337,0.61665,0.85825,0.90473,0.24537,0.21974,0.06498,2.66949,1.3938,1.34708,0.000345276,0.000345276,0.000345276
63,939.617,1.17875,0.59856,0.86071,0.91637,0.25227,0.23477,0.072,2.60093,1.3555,1.32186,0.000342165,0.000342165,0.000342165
64,954.514,1.07799,0.57477,0.85171,0.91637,0.25227,0.23477,0.072,2.60093,1.3555,1.32186,0.000338772,0.000338772,0.000338772
65,969.321,1.13218,0.58053,0.82573,0.91637,0.25227,0.23477,0.072,2.60093,1.3555,1.32186,0.000335095,0.000335095,0.000335095
66,983.988,1.1546,0.58965,0.84728,0.90138,0.25895,0.23028,0.06944,2.68434,1.34042,1.3486,0.000331135,0.000331135,0.000331135
67,998.275,1.04754,0.55988,0.82217,0.90138,0.25895,0.23028,0.06944,2.68434,1.34042,1.3486,0.000326892,0.000326892,0.000326892
68,1012.88,1.17933,0.578,0.82764,0.90138,0.25895,0.23028,0.06944,2.68434,1.34042,1.3486,0.000322367,0.000322367,0.000322367
69,1027.51,1.19617,0.58965,0.83727,0.88498,0.2338,0.20206,0.05802,2.81914,1.33419,1.40532,0.000317558,0.000317558,0.000317558
70,1041.62,1.06044,0.5551,0.82749,0.88498,0.2338,0.20206,0.05802,2.81914,1.33419,1.40532,0.000312467,0.000312467,0.000312467
71,1055.82,1.2365,0.58648,0.84347,0.88498,0.2338,0.20206,0.05802,2.81914,1.33419,1.40532,0.000307092,0.000307092,0.000307092
72,1070.14,1.05282,0.55098,0.8266,0.90526,0.23264,0.21125,0.06036,2.77052,1.2865,1.38871,0.000301435,0.000301435,0.000301435
73,1084.18,1.04469,0.5357,0.82122,0.90526,0.23264,0.21125,0.06036,2.77052,1.2865,1.38871,0.000295494,0.000295494,0.000295494
74,1098.24,1.06562,0.54193,0.83747,0.90526,0.23264,0.21125,0.06036,2.77052,1.2865,1.38871,0.000289271,0.000289271,0.000289271
75,1112.31,1.0568,0.54888,0.84664,0.92006,0.25463,0.24002,0.07232,2.64261,1.27314,1.33802,0.000282765,0.000282765,0.000282765
76,1126.1,1.11958,0.55464,0.84106,0.92006,0.25463,0.24002,0.07232,2.64261,1.27314,1.33802,0.000275976,0.000275976,0.000275976
77,1140.08,1.05025,0.54604,0.85167,0.92006,0.25463,0.24002,0.07232,2.64261,1.27314,1.33802,0.000268904,0.000268904,0.000268904
78,1154.4,1.09907,0.56313,0.8112,0.91411,0.24884,0.2261,0.06945,2.66486,1.29633,1.32965,0.000261548,0.000261548,0.000261548
79,1168.33,1.13456,0.56193,0.82599,0.91411,0.24884,0.2261,0.06945,2.66486,1.29633,1.32965,0.00025391,0.00025391,0.00025391
